Provider,Location,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,User Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Colombia,Jan 2018,1529360,772892,all,N/A,mean,383877,54,11141,4662,11.14,4.66
All Providers Combined,Colombia,feb-18,1611753,797852,all,N/A,mean,390769,55,11663,5253,11.66,5.25
All Providers Combined,Colombia,mar-18,1638001,835723,all,N/A,mean,405034,50,11906,5201,11.91,5.20
All Providers Combined,Colombia,Apr 2018,1607045,827680,all,N/A,mean,399877,48,12550,5598,12.55,5.60
All Providers Combined,Colombia,may-18,1555388,819576,all,N/A,mean,396094,46,12802,5612,12.80,5.61
All Providers Combined,Colombia,jun-18,1425320,746237,all,N/A,mean,364117,44,12990,5434,12.99,5.43
All Providers Combined,Colombia,jul-18,1501353,797284,all,N/A,mean,387949,43,13680,5633,13.68,5.63
All Providers Combined,Colombia,Aug 2018,1661066,876635,all,N/A,mean,425943,42,14915,6323,14.92,6.32
All Providers Combined,Colombia,sep-18,1676862,883876,all,N/A,mean,429534,44,15529,6453,15.53,6.45
All Providers Combined,Colombia,oct-18,1517704,812532,all,N/A,mean,371918,43,15967,6688,15.97,6.69
All Providers Combined,Colombia,nov-18,1349878,729709,all,N/A,mean,331558,42,16214,6734,16.21,6.73
All Providers Combined,Colombia,Dec 2018,1146359,631741,all,N/A,mean,287861,42,15991,6427,15.99,6.43
All Providers Combined,Colombia,Jan 2019,1612548,872451,all,N/A,mean,398344,44,16190,6537,16.19,6.54
All Providers Combined,Colombia,feb-19,1588164,861576,all,N/A,mean,402589,41,17955,8014,17.96,8.01
All Providers Combined,Colombia,mar-19,1566226,865386,all,N/A,mean,397435,41,17868,7810,17.87,7.81
All Providers Combined,Colombia,Apr 2019,1532020,838705,all,N/A,mean,386845,44,18286,8132,18.29,8.13
All Providers Combined,Colombia,may-19,1667388,908259,all,N/A,mean,409952,42,19479,8877,19.48,8.88
All Providers Combined,Colombia,jun-19,1651426,880840,all,N/A,mean,410089,43,19341,9318,19.34,9.32
All Providers Combined,Colombia,jul-19,1780337,433329,all,N/A,mean,433329,41,22023,11168,22.02,11.17
All Providers Combined,Colombia,Aug 2019,1807380,446628,all,N/A,mean,446628,41,23280,12577,23.28,12.58
All Providers Combined,Colombia,sep-19,1725165,427727,all,N/A,mean,427727,41,23879,12866,23.88,12.87
All Providers Combined,Colombia,oct-19,1797350,452072,all,N/A,mean,452072,40,25497,13724,25.50,13.72
All Providers Combined,Colombia,nov-19,1822597,451134,all,N/A,mean,451134,41,27186,15170,27.19,15.17
All Providers Combined,Colombia,Dec 2019,1676077,432382,all,N/A,mean,432382,41,28322,14496,28.32,14.50
All Providers Combined,Colombia,Dec 2019,1676077,432382,all,N/A,mean,432382,41,28322,14496,28.32,14.50
All Providers Combined,Colombia,Jan 2020,1859339,471403,all,N/A,mean,471403,44,28398,15303,28.40,15.30
All Providers Combined,Colombia,feb-20,1944681,493070,all,N/A,mean,493070,39,31977,16586,31.98,16.59
All Providers Combined,Colombia,mar-20,3309750,785318,all,N/A,mean,785318,45,28632,14544,28.63,14.54
All Providers Combined,Colombia,Apr 2020,3959783,864322,all,N/A,mean,864322,47,28294,13581,28.29,13.58
All Providers Combined,Colombia,may-20,4204200,914025,all,N/A,mean,914025,45,30584,14950,30.58,14.95
All Providers Combined,Colombia,jun-20,3511363,817004,all,N/A,mean,817004,34,33350,16315,33.35,16.32
All Providers Combined,Colombia,jul-20,3606397,861459,all,N/A,mean,861459,33,35376,16510,35.38,16.51
All Providers Combined,Colombia,Aug 2020,3495419,843286,all,N/A,mean,843286,32,36632,16530,36.63,16.53
All Providers Combined,Colombia,sep-20,3092255,782006,all,N/A,mean,782006,30,38772,17955,38.77,17.96
All Providers Combined,Colombia,oct-20,2897967,758815,all,N/A,mean,758815,31,40134,18147,40.13,18.15
All Providers Combined,Colombia,nov-20,2711878,721840,all,N/A,mean,721840,31,42762,19685,42.76,19.69
All Providers Combined,Colombia,Dec 2020,2304126,613689,all,N/A,mean,613689,31,44805,21077,44.81,21.08
All Providers Combined,Colombia,Jan 2021,2939001,749292,all,N/A,mean,749292,31,45447,19148,45.45,19.15
All Providers Combined,Colombia,feb-21,3222059,828934,all,N/A,mean,828934,30,47373,20568,47.37,20.57
All Providers Combined,Colombia,mar-21,3128872,816276,all,N/A,mean,816276,29,50784,22564,50.78,22.56
All Providers Combined,Colombia,Apr 2021,3319017,857687,all,N/A,mean,857687,28,53761,24278,53.76,24.28
All Providers Combined,Colombia,may-21,3206615,832863,all,N/A,mean,832863,28,56740,25385,56.74,25.39
All Providers Combined,Colombia,jun-21,2977249,794130,all,N/A,mean,794130,26,61619,28817,61.62,28.82
All Providers Combined,Colombia,jul-21,3129689,830778,all,N/A,mean,830778,26,65155,30988,65.16,30.99
All Providers Combined,Colombia,Aug 2021,3056615,827009,all,N/A,mean,827009,25,68441,34740,68.44,34.74
All Providers Combined,Colombia,sep-21,2856581,753668,all,N/A,mean,753668,23,72190,36768,72.19,36.77
All Providers Combined,Colombia,oct-21,2664542,753217,all,N/A,mean,753217,23,76255,40071,76.26,40.07
All Providers Combined,Colombia,nov-21,2648674,745114,all,N/A,mean,745114,22,82097,46094,82.10,46.09
All Providers Combined,Colombia,Dec 2021,2355211,684645,all,N/A,mean,684645,22,84820,46579,84.82,46.58
All Providers Combined,Colombia,Jan 2022,2538199,710933,all,N/A,mean,710933,22,86495,49367,86.50,49.37
